tweet_id	tweet_text	class_label
931465546129989632	#Iran #earthquake damage put at over 5bn pounds https://t.co/xYYMI8eIWz #International @PaoloGentiloni https://t.co/fEoVYD0vW0	informative
905064623199719425	We've lost track of how many houses/families @NEHBC teams have helped. So proud of our church. #Harvey https://t.co/wBkKvUt9vw	informative
922857566220283904	The gym above subway got destroyed. The cement wall got blown out. #HurricaneMaria https://t.co/GS0tKhvR30	informative
909767231411769344	Famous Captive Orca Fends For Herself In Florida Keys During Irma https://t.co/pTrE7TEhuy https://t.co/Klh0F8IQxH	informative
920571592131915777	Californiaâ€™s Sausalito Fire In Marin Captured In Pictures And Videos #firangi https://t.co/8m8mMDpY5B https://t.co/sH9V1iaa9c	informative
923421787794395137	One of the first #solar + storage #Tesla Energy projects in Puerto Rico has come online | https://t.co/nbK9CUFEnY https://t.co/36NiWhUMwM	not_informative
907991367296659456	#new President Trump supports church lawsuit over Hurricane Harvey https://t.co/SETv5tWoMD https://t.co/9wBxGp0MOy	informative
909926768194260992	Tornado Warning including Rosburg WA, Grays River WA, Deep River WA until 5:15 PM PDT https://t.co/fi7fYyq29x	informative
913157619455426560	RT @FOXLA: PHOTOS: #PuertoRicoNeedsHelpNow struggles in #MariaHurricane wake. á¼ŸAá¼Ÿ8á¼Ÿ5á¼Ÿ7 https://t.co/XZHW9xEVQH https://t.co/cPwkvQ451I	informative
909752681912242177	#MONEY #IRMA business Whole Foods shows what economists don't know https://t.co/8qRfhHudA7 via BV https://t.co/wRLNYUcC2b ‚Äî Bloomberg (‚Ä¶	informative
910207153817894912	Georgia Field Reports: Cotton, Pecans Take Brunt of Irma Damage https://t.co/dfJOuJZYZ9 https://t.co/KLLi7BYaPn	informative
905260640213893121	How you can help Victims of NaturalÂ Disasters https://t.co/hHxva5cZlf https://t.co/OZk1qwlu39	informative
909386547409162240	HWRF indicating risk for another major blow by #Maria to the N. Leewards just weeks after #Irma devistated the isla‚Ä¶ https://t.co/JcnoFyxYHA	informative
913381014440988672	Resurs-P comparison of Saint John Parish, #Dominica, before and after #HurricaneMaria: https://t.co/okA47YTvXN https://t.co/dxt6p5iJLw	informative
